order,family,header,symbol,kind,requirement,implementation_status,header_evidence,implementation_source,test_evidence,implementation_notes,review_status,review_findings,fix_status,standard_url
80,ISO-C17,<math.h>,expf,function,required,implemented,libc/include/math.h,vendor/musl/src/math/expf.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,The pinned musl implementation was reviewed for zedBSD's 64-bit long-double ABI; local error helpers now update the software fenv.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
81,ISO-C17,<math.h>,expl,function,required,implemented,libc/include/math.h,vendor/musl/src/math/expl.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,The pinned musl implementation was reviewed for zedBSD's 64-bit long-double ABI; local error helpers now update the software fenv.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
82,ISO-C17,<math.h>,expm1,function,required,implemented,libc/include/math.h,vendor/musl/src/math/expm1.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,The pinned musl implementation was reviewed for zedBSD's 64-bit long-double ABI; local error helpers now update the software fenv.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
83,ISO-C17,<math.h>,expm1f,function,required,implemented,libc/include/math.h,vendor/musl/src/math/expm1f.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,The pinned musl implementation was reviewed for zedBSD's 64-bit long-double ABI; local error helpers now update the software fenv.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
84,ISO-C17,<math.h>,expm1l,function,required,implemented,libc/include/math.h,vendor/musl/src/math/expm1l.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,The pinned musl implementation was reviewed for zedBSD's 64-bit long-double ABI; local error helpers now update the software fenv.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
85,ISO-C17,<math.h>,fabs,function,required,implemented,libc/include/math.h,vendor/musl/src/math/fabs.c|vendor/musl/src/math/powerpc64/fabs.c|vendor/musl/src/math/arm/fabs.c|vendor/musl/src/math/riscv64/fabs.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,The pinned musl implementation was reviewed for zedBSD's 64-bit long-double ABI; local error helpers now update the software fenv.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
86,ISO-C17,<math.h>,fabsf,function,required,implemented,libc/include/math.h,vendor/musl/src/math/fabsf.c|vendor/musl/src/math/powerpc64/fabsf.c|vendor/musl/src/math/arm/fabsf.c|vendor/musl/src/math/riscv64/fabsf.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,The pinned musl implementation was reviewed for zedBSD's 64-bit long-double ABI; local error helpers now update the software fenv.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
87,ISO-C17,<math.h>,fabsl,function,required,implemented,libc/include/math.h,vendor/musl/src/math/fabsl.c|vendor/musl/src/math/x86_64/fabsl.c|vendor/musl/src/math/i386/fabsl.c|vendor/musl/src/math/s390x/fabsl.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,The pinned musl implementation was reviewed for zedBSD's 64-bit long-double ABI; local error helpers now update the software fenv.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
88,ISO-C17,<math.h>,fdim,function,required,implemented,libc/include/math.h,vendor/musl/src/math/fdim.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,The pinned musl implementation was reviewed for zedBSD's 64-bit long-double ABI; local error helpers now update the software fenv.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
89,ISO-C17,<math.h>,fdimf,function,required,implemented,libc/include/math.h,vendor/musl/src/math/fdimf.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,The pinned musl implementation was reviewed for zedBSD's 64-bit long-double ABI; local error helpers now update the software fenv.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
90,ISO-C17,<math.h>,fdiml,function,required,implemented,libc/include/math.h,vendor/musl/src/math/fdiml.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,The pinned musl implementation was reviewed for zedBSD's 64-bit long-double ABI; local error helpers now update the software fenv.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
91,ISO-C17,<math.h>,floor,function,required,implemented,libc/include/math.h,vendor/musl/src/math/floor.c|vendor/musl/src/math/powerpc64/floor.c|vendor/musl/src/math/s390x/floor.c|vendor/musl/src/math/aarch64/floor.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,The pinned musl implementation was reviewed for zedBSD's 64-bit long-double ABI; local error helpers now update the software fenv.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
92,ISO-C17,<math.h>,floorf,function,required,implemented,libc/include/math.h,vendor/musl/src/math/floorf.c|vendor/musl/src/math/powerpc64/floorf.c|vendor/musl/src/math/s390x/floorf.c|vendor/musl/src/math/aarch64/floorf.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,The pinned musl implementation was reviewed for zedBSD's 64-bit long-double ABI; local error helpers now update the software fenv.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
93,ISO-C17,<math.h>,floorl,function,required,implemented,libc/include/math.h,vendor/musl/src/math/floorl.c|vendor/musl/src/math/s390x/floorl.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,The pinned musl implementation was reviewed for zedBSD's 64-bit long-double ABI; local error helpers now update the software fenv.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
94,ISO-C17,<math.h>,fma,function,required,implemented,libc/include/math.h,vendor/musl/src/math/fma.c|vendor/musl/src/math/powerpc64/fma.c|vendor/musl/src/math/arm/fma.c|vendor/musl/src/math/x32/fma.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,The pinned musl implementation was reviewed for zedBSD's 64-bit long-double ABI; local error helpers now update the software fenv.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
95,ISO-C17,<math.h>,fmaf,function,required,implemented,libc/include/math.h,vendor/musl/src/math/fmaf.c|vendor/musl/src/math/powerpc64/fmaf.c|vendor/musl/src/math/arm/fmaf.c|vendor/musl/src/math/x32/fmaf.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,The pinned musl implementation was reviewed for zedBSD's 64-bit long-double ABI; local error helpers now update the software fenv.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
96,ISO-C17,<math.h>,fmal,function,required,implemented,libc/include/math.h,vendor/musl/src/math/fmal.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,The pinned musl implementation was reviewed for zedBSD's 64-bit long-double ABI; local error helpers now update the software fenv.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
97,ISO-C17,<math.h>,fmax,function,required,implemented,libc/include/math.h,vendor/musl/src/math/fmax.c|vendor/musl/src/math/powerpc64/fmax.c|vendor/musl/src/math/riscv64/fmax.c|vendor/musl/src/math/aarch64/fmax.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,The pinned musl implementation was reviewed for zedBSD's 64-bit long-double ABI; local error helpers now update the software fenv.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
98,ISO-C17,<math.h>,fmaxf,function,required,implemented,libc/include/math.h,vendor/musl/src/math/fmaxf.c|vendor/musl/src/math/powerpc64/fmaxf.c|vendor/musl/src/math/riscv64/fmaxf.c|vendor/musl/src/math/aarch64/fmaxf.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,The pinned musl implementation was reviewed for zedBSD's 64-bit long-double ABI; local error helpers now update the software fenv.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
99,ISO-C17,<math.h>,fmaxl,function,required,implemented,libc/include/math.h,vendor/musl/src/math/fmaxl.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,The pinned musl implementation was reviewed for zedBSD's 64-bit long-double ABI; local error helpers now update the software fenv.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
100,ISO-C17,<math.h>,fmin,function,required,implemented,libc/include/math.h,vendor/musl/src/math/fmin.c|vendor/musl/src/math/powerpc64/fmin.c|vendor/musl/src/math/riscv64/fmin.c|vendor/musl/src/math/aarch64/fmin.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,The pinned musl implementation was reviewed for zedBSD's 64-bit long-double ABI; local error helpers now update the software fenv.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
101,ISO-C17,<math.h>,fminf,function,required,implemented,libc/include/math.h,vendor/musl/src/math/fminf.c|vendor/musl/src/math/powerpc64/fminf.c|vendor/musl/src/math/riscv64/fminf.c|vendor/musl/src/math/aarch64/fminf.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,The pinned musl implementation was reviewed for zedBSD's 64-bit long-double ABI; local error helpers now update the software fenv.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
102,ISO-C17,<math.h>,fminl,function,required,implemented,libc/include/math.h,vendor/musl/src/math/fminl.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,The pinned musl implementation was reviewed for zedBSD's 64-bit long-double ABI; local error helpers now update the software fenv.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
103,ISO-C17,<math.h>,fmod,function,required,implemented,libc/include/math.h,vendor/musl/src/math/fmod.c|vendor/musl/src/math/i386/fmod.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,The pinned musl implementation was reviewed for zedBSD's 64-bit long-double ABI; local error helpers now update the software fenv.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
104,ISO-C17,<math.h>,fmodf,function,required,implemented,libc/include/math.h,vendor/musl/src/math/fmodf.c|vendor/musl/src/math/i386/fmodf.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,The pinned musl implementation was reviewed for zedBSD's 64-bit long-double ABI; local error helpers now update the software fenv.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
105,ISO-C17,<math.h>,fmodl,function,required,implemented,libc/include/math.h,vendor/musl/src/math/fmodl.c|vendor/musl/src/math/x86_64/fmodl.c|vendor/musl/src/math/i386/fmodl.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,The pinned musl implementation was reviewed for zedBSD's 64-bit long-double ABI; local error helpers now update the software fenv.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
106,ISO-C17,<math.h>,frexp,function,required,implemented,libc/include/math.h,vendor/musl/src/math/frexp.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,The pinned musl implementation was reviewed for zedBSD's 64-bit long-double ABI; local error helpers now update the software fenv.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
107,ISO-C17,<math.h>,frexpf,function,required,implemented,libc/include/math.h,vendor/musl/src/math/frexpf.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,The pinned musl implementation was reviewed for zedBSD's 64-bit long-double ABI; local error helpers now update the software fenv.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
108,ISO-C17,<math.h>,frexpl,function,required,implemented,libc/include/math.h,vendor/musl/src/math/frexpl.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,The pinned musl implementation was reviewed for zedBSD's 64-bit long-double ABI; local error helpers now update the software fenv.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
109,ISO-C17,<math.h>,hypot,function,required,implemented,libc/include/math.h,vendor/musl/src/math/hypot.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,The pinned musl implementation was reviewed for zedBSD's 64-bit long-double ABI; local error helpers now update the software fenv.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
110,ISO-C17,<math.h>,hypotf,function,required,implemented,libc/include/math.h,vendor/musl/src/math/hypotf.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,The pinned musl implementation was reviewed for zedBSD's 64-bit long-double ABI; local error helpers now update the software fenv.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
111,ISO-C17,<math.h>,hypotl,function,required,implemented,libc/include/math.h,vendor/musl/src/math/hypotl.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,The pinned musl implementation was reviewed for zedBSD's 64-bit long-double ABI; local error helpers now update the software fenv.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
112,ISO-C17,<math.h>,ilogb,function,required,implemented,libc/include/math.h,vendor/musl/src/math/ilogb.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,The pinned musl implementation was reviewed for zedBSD's 64-bit long-double ABI; local error helpers now update the software fenv.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
113,ISO-C17,<math.h>,ilogbf,function,required,implemented,libc/include/math.h,vendor/musl/src/math/ilogbf.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,The pinned musl implementation was reviewed for zedBSD's 64-bit long-double ABI; local error helpers now update the software fenv.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
114,ISO-C17,<math.h>,ilogbl,function,required,implemented,libc/include/math.h,vendor/musl/src/math/ilogbl.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,The pinned musl implementation was reviewed for zedBSD's 64-bit long-double ABI; local error helpers now update the software fenv.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
115,ISO-C17,<math.h>,ldexp,function,required,implemented,libc/include/math.h,vendor/musl/src/math/ldexp.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,The pinned musl implementation was reviewed for zedBSD's 64-bit long-double ABI; local error helpers now update the software fenv.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
116,ISO-C17,<math.h>,ldexpf,function,required,implemented,libc/include/math.h,vendor/musl/src/math/ldexpf.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,The pinned musl implementation was reviewed for zedBSD's 64-bit long-double ABI; local error helpers now update the software fenv.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
117,ISO-C17,<math.h>,ldexpl,function,required,implemented,libc/include/math.h,vendor/musl/src/math/ldexpl.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,The pinned musl implementation was reviewed for zedBSD's 64-bit long-double ABI; local error helpers now update the software fenv.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
118,ISO-C17,<math.h>,lgamma,function,required,implemented,libc/include/math.h,vendor/musl/src/math/lgamma.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,The pinned musl implementation was reviewed for zedBSD's 64-bit long-double ABI; local error helpers now update the software fenv.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
119,ISO-C17,<math.h>,lgammaf,function,required,implemented,libc/include/math.h,vendor/musl/src/math/lgammaf.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,The pinned musl implementation was reviewed for zedBSD's 64-bit long-double ABI; local error helpers now update the software fenv.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
120,ISO-C17,<math.h>,lgammal,function,required,implemented,libc/include/math.h,vendor/musl/src/math/lgammal.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,The pinned musl implementation was reviewed for zedBSD's 64-bit long-double ABI; local error helpers now update the software fenv.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
121,ISO-C17,<math.h>,llrint,function,required,implemented,libc/include/math.h,vendor/musl/src/math/llrint.c|vendor/musl/src/math/x86_64/llrint.c|vendor/musl/src/math/i386/llrint.c|vendor/musl/src/math/aarch64/llrint.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,The pinned musl implementation was reviewed for zedBSD's 64-bit long-double ABI; local error helpers now update the software fenv.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
122,ISO-C17,<math.h>,llrintf,function,required,implemented,libc/include/math.h,vendor/musl/src/math/llrintf.c|vendor/musl/src/math/x86_64/llrintf.c|vendor/musl/src/math/i386/llrintf.c|vendor/musl/src/math/aarch64/llrintf.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,The pinned musl implementation was reviewed for zedBSD's 64-bit long-double ABI; local error helpers now update the software fenv.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
123,ISO-C17,<math.h>,llrintl,function,required,implemented,libc/include/math.h,vendor/musl/src/math/llrintl.c|vendor/musl/src/math/x86_64/llrintl.c|vendor/musl/src/math/i386/llrintl.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,The pinned musl implementation was reviewed for zedBSD's 64-bit long-double ABI; local error helpers now update the software fenv.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
124,ISO-C17,<math.h>,llround,function,required,implemented,libc/include/math.h,vendor/musl/src/math/llround.c|vendor/musl/src/math/aarch64/llround.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,The pinned musl implementation was reviewed for zedBSD's 64-bit long-double ABI; local error helpers now update the software fenv.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
125,ISO-C17,<math.h>,llroundf,function,required,implemented,libc/include/math.h,vendor/musl/src/math/llroundf.c|vendor/musl/src/math/aarch64/llroundf.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,The pinned musl implementation was reviewed for zedBSD's 64-bit long-double ABI; local error helpers now update the software fenv.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
126,ISO-C17,<math.h>,llroundl,function,required,implemented,libc/include/math.h,vendor/musl/src/math/llroundl.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,The pinned musl implementation was reviewed for zedBSD's 64-bit long-double ABI; local error helpers now update the software fenv.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
127,ISO-C17,<math.h>,log,function,required,implemented,libc/include/math.h,vendor/musl/src/math/log.c|vendor/musl/src/math/pow_data.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,The pinned musl implementation was reviewed for zedBSD's 64-bit long-double ABI; local error helpers now update the software fenv.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
128,ISO-C17,<math.h>,log10,function,required,implemented,libc/include/math.h,vendor/musl/src/math/log10.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,The pinned musl implementation was reviewed for zedBSD's 64-bit long-double ABI; local error helpers now update the software fenv.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
129,ISO-C17,<math.h>,log10f,function,required,implemented,libc/include/math.h,vendor/musl/src/math/log10f.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,The pinned musl implementation was reviewed for zedBSD's 64-bit long-double ABI; local error helpers now update the software fenv.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
130,ISO-C17,<math.h>,log10l,function,required,implemented,libc/include/math.h,vendor/musl/src/math/log10l.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,The pinned musl implementation was reviewed for zedBSD's 64-bit long-double ABI; local error helpers now update the software fenv.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
131,ISO-C17,<math.h>,log1p,function,required,implemented,libc/include/math.h,vendor/musl/src/math/log1p.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,The pinned musl implementation was reviewed for zedBSD's 64-bit long-double ABI; local error helpers now update the software fenv.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
132,ISO-C17,<math.h>,log1pf,function,required,implemented,libc/include/math.h,vendor/musl/src/math/log1pf.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,The pinned musl implementation was reviewed for zedBSD's 64-bit long-double ABI; local error helpers now update the software fenv.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
133,ISO-C17,<math.h>,log1pl,function,required,implemented,libc/include/math.h,vendor/musl/src/math/log1pl.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,The pinned musl implementation was reviewed for zedBSD's 64-bit long-double ABI; local error helpers now update the software fenv.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
134,ISO-C17,<math.h>,log2,function,required,implemented,libc/include/math.h,vendor/musl/src/math/log2.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,The pinned musl implementation was reviewed for zedBSD's 64-bit long-double ABI; local error helpers now update the software fenv.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
135,ISO-C17,<math.h>,log2f,function,required,implemented,libc/include/math.h,vendor/musl/src/math/log2f.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,The pinned musl implementation was reviewed for zedBSD's 64-bit long-double ABI; local error helpers now update the software fenv.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
136,ISO-C17,<math.h>,log2l,function,required,implemented,libc/include/math.h,vendor/musl/src/math/log2l.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,The pinned musl implementation was reviewed for zedBSD's 64-bit long-double ABI; local error helpers now update the software fenv.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
137,ISO-C17,<math.h>,logb,function,required,implemented,libc/include/math.h,vendor/musl/src/math/logb.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,The pinned musl implementation was reviewed for zedBSD's 64-bit long-double ABI; local error helpers now update the software fenv.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
138,ISO-C17,<math.h>,logbf,function,required,implemented,libc/include/math.h,vendor/musl/src/math/logbf.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,The pinned musl implementation was reviewed for zedBSD's 64-bit long-double ABI; local error helpers now update the software fenv.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
139,ISO-C17,<math.h>,logbl,function,required,implemented,libc/include/math.h,vendor/musl/src/math/logbl.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,The pinned musl implementation was reviewed for zedBSD's 64-bit long-double ABI; local error helpers now update the software fenv.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
140,ISO-C17,<math.h>,logf,function,required,implemented,libc/include/math.h,vendor/musl/src/math/logf.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,The pinned musl implementation was reviewed for zedBSD's 64-bit long-double ABI; local error helpers now update the software fenv.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
141,ISO-C17,<math.h>,logl,function,required,implemented,libc/include/math.h,vendor/musl/src/math/logl.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,The pinned musl implementation was reviewed for zedBSD's 64-bit long-double ABI; local error helpers now update the software fenv.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
142,ISO-C17,<math.h>,lrint,function,required,implemented,libc/include/math.h,vendor/musl/src/math/lrint.c|vendor/musl/src/math/powerpc64/lrint.c|vendor/musl/src/math/x86_64/lrint.c|vendor/musl/src/math/i386/lrint.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,The pinned musl implementation was reviewed for zedBSD's 64-bit long-double ABI; local error helpers now update the software fenv.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
143,ISO-C17,<math.h>,lrintf,function,required,implemented,libc/include/math.h,vendor/musl/src/math/lrintf.c|vendor/musl/src/math/powerpc64/lrintf.c|vendor/musl/src/math/x86_64/lrintf.c|vendor/musl/src/math/i386/lrintf.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,The pinned musl implementation was reviewed for zedBSD's 64-bit long-double ABI; local error helpers now update the software fenv.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
144,ISO-C17,<math.h>,lrintl,function,required,implemented,libc/include/math.h,vendor/musl/src/math/lrintl.c|vendor/musl/src/math/x86_64/lrintl.c|vendor/musl/src/math/i386/lrintl.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,The pinned musl implementation was reviewed for zedBSD's 64-bit long-double ABI; local error helpers now update the software fenv.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
145,ISO-C17,<math.h>,lround,function,required,implemented,libc/include/math.h,vendor/musl/src/math/lround.c|vendor/musl/src/math/powerpc64/lround.c|vendor/musl/src/math/aarch64/lround.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,The pinned musl implementation was reviewed for zedBSD's 64-bit long-double ABI; local error helpers now update the software fenv.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
146,ISO-C17,<math.h>,lroundf,function,required,implemented,libc/include/math.h,vendor/musl/src/math/lroundf.c|vendor/musl/src/math/powerpc64/lroundf.c|vendor/musl/src/math/aarch64/lroundf.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,The pinned musl implementation was reviewed for zedBSD's 64-bit long-double ABI; local error helpers now update the software fenv.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
147,ISO-C17,<math.h>,lroundl,function,required,implemented,libc/include/math.h,vendor/musl/src/math/lroundl.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,The pinned musl implementation was reviewed for zedBSD's 64-bit long-double ABI; local error helpers now update the software fenv.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
148,ISO-C17,<math.h>,modf,function,required,implemented,libc/include/math.h,vendor/musl/src/math/modf.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,The pinned musl implementation was reviewed for zedBSD's 64-bit long-double ABI; local error helpers now update the software fenv.,fixed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
